report_month,project_code,original_cost,expenditure,expenditure_ratio,physical_progress,previous_progress,progress_change,progress_velocity,previous_expenditure,expenditure_change,expenditure_velocity,previous_observations,months_observed,days_since_first_report,has_physical_progress,has_expenditure,has_original_cost,state,sector,ministry_final,agency_final,start_date,original_doc,future_time_delay
2025-02-01,618774,984.63,798.12,81.05785929740105,100.0,,,,,,,0,1,0,1,1,1,Bihar,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],08/2020,,1
2025-02-01,618779,1505.0,305.2,20.27906976744186,96.0,,,,,,,0,1,0,1,1,1,Bihar,Roads & Highways,Ministry of Road Transport & Highways,NHAI,09/2022,,1
2025-02-01,618828,1436.49,826.62,57.54443121775997,92.0,,,,,,,0,1,0,1,1,1,"Multi-States (Jharkhand, Uttar Pradesh)",Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],03/2022,,1
2025-12-01,618828,1436.49,826.55,57.539558228738095,90.0,92.0,-2.0,-0.0066006600660066,826.62,-0.07000000000005,-0.0002310231023103,1,2,303,1,1,1,"Multi-States (Jharkhand, Uttar Pradesh)",Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,618829,1129.48,527.11,46.66837836880688,93.0,,,,,,,0,1,0,1,1,1,Jharkhand,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],09/2020,,1
2025-02-01,618833,894.01,445.94,49.88087381572913,98.0,,,,,,,0,1,0,1,1,1,Gujarat,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-12-01,618833,894.01,439.5,49.16052393149965,98.0,98.0,0.0,0.0,445.94,-6.439999999999998,-0.0212541254125412,1,2,303,1,1,1,Gujarat,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,618834,162.73,162.0,99.55140416641063,100.0,,,,,,,0,1,0,1,1,1,Gujarat,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],03/2022,,1
2025-02-01,618839,1309.47,805.51,61.51420040168924,100.0,,,,,,,0,1,0,1,1,1,Bihar,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-12-01,618839,1309.47,796.99,60.8635554842799,100.0,100.0,0.0,0.0,805.51,-8.519999999999982,-0.028118811881188,1,2,303,1,1,1,Bihar,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,618849,444.21,394.57,88.82510524301568,100.0,,,,,,,0,1,0,1,1,1,Chhattisgarh,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],05/2022,,1
2025-12-01,618849,444.21,394.5,88.80934693050585,100.0,100.0,0.0,0.0,394.57,-0.0699999999999931,-0.0002310231023102,1,2,303,1,1,1,Chhattisgarh,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
