feature,importance
approval_date_03_2017_(04_2018),0
approval_date_03_2017_(06_2017),0
approval_date_03_2017_(06_2019),0
approval_date_03_2017_(07_2017),0
approval_date_03_2017_(08_2019),0
approval_date_03_2017_(09_2017),0
approval_date_03_2017_(10_2018),0
approval_date_03_2017_(11_2017),0
approval_date_03_2018_(01_2019),0
approval_date_03_2018_(01_2022),0
approval_date_03_2018_(01_2023),0
approval_date_03_2018_(03_2017),0
approval_date_03_2018_(04_2019),0
approval_date_03_2018_(06_2018),0
approval_date_03_2018_(07_2018),0
approval_date_03_2018_(07_2019),0
approval_date_03_2018_(08_2018),0
approval_date_03_2018_(08_2023),0
approval_date_03_2018_(09_2018),0
approval_date_03_2018_(10_2019),0
approval_date_03_2018_(10_2020),0
approval_date_03_2018_(11_2019),0
approval_date_03_2018_(11_2021),0
approval_date_03_2018_(12_2018),0
approval_date_03_2018_(12_2019),0
approval_date_03_2018_(12_2020),0
approval_date_03_2018_(12_2021),0
approval_date_03_2019_(02_2020),0
approval_date_03_2019_(03_2017),0
approval_date_03_2019_(03_2019),0
approval_date_03_2019_(03_2020),0
approval_date_03_2019_(04_2019),0
approval_date_03_2019_(04_2024),0
approval_date_03_2019_(05_2019),0
approval_date_03_2019_(06_2019),0
approval_date_03_2019_(10_2020),0
approval_date_03_2019_(11_2020),0
approval_date_03_2019_(12_2019),0
approval_date_03_2019_(12_2022),0
approval_date_03_2019_(12_2025),0
