feature,importance
agency_final_Indian_Institute_of_Management__Jammu,0
agency_final_Indian_Institute_of_Management__Sirmaur,0
agency_final_Indian_Institute_of_Technology__Bhilai,0
agency_final_Indian_Institute_of_Technology__Bombay,0
agency_final_Indian_Institute_of_Technology__Hyderabad,0
agency_final_Indian_Institute_of_Technology__Indore,0
agency_final_Indian_Institute_of_Technology__Kharagpur,0
agency_final_Indian_Institute_of_Technology__Mandi,0
agency_final_Indian_Institutes_of_Science_Education_and_Research__Behrampur,0
agency_final_Indian_Oil_Corporation_Limited_(IOCL),0
agency_final_Indian_Port_Rail___Ropeway_Corporation_Ltd._(IPRCL),0
agency_final_Indian_Railway,0
agency_final_Indian_intitue_of_Management__Amritsar,0
agency_final_Inland_Waterways_Authority_of_India_(IWAI),0
agency_final_Irrigation___Water_Resources-UP,0
agency_final_Irrigation-UK,0
agency_final_KMDA,0
agency_final_Karnataka_Rail_Infrastructure_Development_Company_Limited_(K-RIDE),0
agency_final_M_S_SRC_company_Infra_Private_Limited,0
agency_final_MCL_-_CIL,0
agency_final_MIS_MoCoal_Integration_Logins,0
agency_final_MRIDC,0
agency_final_MRTP,0
agency_final_Madhya_Pradesh_Metro_Rail_Co_Limited_(MPMRCL),0
agency_final_Mahanadi_Coalfields_Limited_(MCL),0
agency_final_Mangalore_Refinary_and_Petrochemicals_Limited,0
agency_final_Metro_Railway__Kolkata,0
agency_final_Ministry_of_Coal,0
agency_final_Ministry_of_Education,0
agency_final_Ministry_of_Health___Family_Welfare,0
agency_final_Ministry_of_Housing___Urban_Affairs,0
agency_final_Ministry_of_Mines,0
agency_final_Ministry_of_Petroleum_and_Natural_Gas,0
agency_final_Mumbai_Metro_Rail_Corporation_Limited_(MMRC),0
agency_final_Mumbai_Port_Trust_(MPT),0
agency_final_Mumbai_Rail_Vikas_Corporation_Ltd.(MRVC),0
agency_final_NALCO,0
agency_final_NCR,0
agency_final_NER,0
agency_final_NFR,0
agency_final_NIT_Mizoram,0
agency_final_NIT_Nagaland,0
agency_final_NIT_Patna,0
agency_final_NIT_Rourkela,0
agency_final_NIT_Sikkim,0
agency_final_NMDC,0
agency_final_NR,0
agency_final_NRL,0
agency_final_NTPC,0
agency_final_NWR,0
